,Location,Date
0,Jakarta,2020-01-01
1,Jakarta,2020-01-02
2,Jakarta,2020-01-03
3,Jakarta,2020-01-04
4,Jakarta,2020-01-05
5,Jakarta,2020-01-09
6,Jakarta,2020-01-17
7,Jakarta,2020-01-18
8,Jakarta,2020-01-23
9,Jakarta,2020-01-24
10,Jakarta,2020-01-25
11,Jakarta,2020-02-01
12,Jakarta,2020-02-02
13,Jakarta,2020-02-08
14,Jakarta,2020-02-09
15,Jakarta,2020-02-16
16,Jakarta,2020-02-20
17,Jakarta,2020-02-21
18,Jakarta,2020-02-22
19,Jakarta,2020-02-23
20,Jakarta,2020-02-24
21,Jakarta,2020-02-25
22,Jakarta,2020-02-26
23,Jakarta,2020-02-27
24,Jakarta,2020-02-28
25,Jakarta,2020-03-01
26,Jakarta,2020-03-02
27,Jakarta,2020-03-20
28,Jakarta,2020-03-22
29,Jakarta,2020-03-27
30,Jakarta,2020-04-06
31,Jakarta,2020-04-13
32,Jakarta,2020-04-19
33,Jakarta,2020-04-27
34,Jakarta,2020-04-28
35,Jakarta,2020-04-29
36,Jakarta,2020-04-30
37,Jakarta,2020-05-06
38,Jakarta,2020-05-19
39,Jakarta,2020-05-20
40,Jakarta,2020-05-21
41,Jakarta,2020-05-22
42,Jakarta,2020-06-04
43,Jakarta,2020-06-05
44,Jakarta,2020-06-06
45,Jakarta,2020-06-07
46,Jakarta,2020-06-08
47,Jakarta,2020-07-12
48,Jakarta,2020-07-13
49,Jakarta,2020-07-14
50,Jakarta,2020-07-15
51,Jakarta,2020-07-16
52,Jakarta,2020-08-13
53,Jakarta,2020-09-15
54,Jakarta,2020-09-21
55,Jakarta,2020-09-22
56,Jakarta,2020-10-02
57,Jakarta,2020-10-05
58,Jakarta,2020-10-09
59,Jakarta,2020-10-10
60,Jakarta,2020-10-15
61,Jakarta,2020-10-16
62,Jakarta,2020-10-17
63,Jakarta,2020-10-19
64,Jakarta,2020-10-20
65,Jakarta,2020-10-25
66,Jakarta,2020-10-26
67,Jakarta,2020-10-27
68,Jakarta,2020-11-13
69,Jakarta,2020-11-15
70,Jakarta,2020-11-16
71,Jakarta,2020-11-17
72,Jakarta,2020-11-18
73,Jakarta,2020-11-19
74,Jakarta,2020-11-24
75,Jakarta,2020-11-25
76,Jakarta,2020-12-06
77,Jakarta,2020-12-07
78,Jakarta,2020-12-08
